month,season,hour,hour_categorized,Primary Type,Arrest,Domestic,Beat,Year
9,0,18,2,THEFT,1,0,2011,2012
2,3,18,2,BATTERY,0,1,1021,2012
2,3,10,0,NARCOTICS,1,0,634,2012
1,3,23,2,CRIMINAL DAMAGE,0,1,2223,2012
5,1,12,1,NARCOTICS,1,0,2534,2012
1,3,19,2,CRIMINAL DAMAGE,0,0,2412,2012
4,1,10,0,THEFT,0,0,1834,2012
12,3,20,2,THEFT,1,0,2533,2012
4,1,2,2,THEFT,0,1,513,2012
1,3,21,2,NARCOTICS,1,0,1113,2012
9,0,10,0,THEFT,0,0,1121,2012
11,0,4,2,BATTERY,0,0,2432,2012
11,0,3,2,BATTERY,0,1,1912,2012
